측정소명,년,월,PM2.5,PM10
가거도,2024,4,28.05135951661632,48.47005988023952
가거도,2024,5,19.515765765765767,29.074157303370782
가거도,2024,6,12.903469079939669,17.96846846846847
가거도,2024,7,11.112546125461254,16.019120458891013
가거도,2024,8,16.326923076923077,20.49680511182109
가거도,2024,9,12.688172043010752,22.14723926380368
가거도,2024,10,14.722084367245657,25.89135802469136
가거도,2024,11,15.668141592920351,33.20238095238095
가거도,2024,12,13.191582002902758,37.00864553314121
가거도,2024,13,18.355605255202594,31.650250123900207
가남읍,2020,11,,
가남읍,2020,12,44.42022792022792,63.511661807580175
가남읍,2020,13,44.42022792022792,63.511661807580175
가남읍,2021,1,32.4992927864215,53.9985935302391
가남읍,2021,2,36.42901716068643,60.84555382215289
가남읍,2021,3,36.70762711864407,79.6953455571227
가남읍,2021,4,24.538235294117648,59.19472913616399
가남읍,2021,5,28.12095639943741,72.95218002812939
가남읍,2021,6,25.49344978165939,45.86608442503639
가남읍,2021,7,10.817901234567902,30.75317348377997
가남읍,2021,8,13.007042253521126,34.00845070422535
가남읍,2021,9,10.925329428989752,28.54824561403509
가남읍,2021,10,24.439265536723163,47.34366197183098
가남읍,2021,11,39.782805429864254,64.50604229607251
가남읍,2021,12,33.54507042253521,51.07464788732394
가남읍,2021,13,26.358832737263985,52.39889237134269
가남읍,2022,1,41.913841807909606,58.41184767277856
가남읍,2022,2,34.20436817472699,50.48361934477379
가남읍,2022,3,33.68732394366197,57.45275035260931
가남읍,2022,4,28.69941348973607,56.97953216374269
가남읍,2022,5,25.806543385490755,46.95744680851064
가남읍,2022,6,19.28966521106259,31.7627365356623
가남읍,2022,7,15.72394366197183,28.37887323943662
가남읍,2022,8,11.861581920903957,24.07605633802817
가남읍,2022,9,14.912408759124087,34.63157894736842
가남읍,2022,10,24.76793893129771,44.74809160305343
가남읍,2022,11,40.92397660818713,62.521865889212826
가남읍,2022,12,35.68696883852692,49.38385269121813
가남읍,2022,13,27.289831227716633,45.482354298866234
가남읍,2023,1,38.56960227272727,56.93635077793493
가남읍,2023,2,43.74213836477988,58.20537124802528
가남읍,2023,3,40.86616541353384,80.55869872701555
가남읍,2023,4,29.84480234260615,73.42773722627737
가남읍,2023,5,24.50141242937853,48.13700564971752
가남읍,2023,6,22.13157894736842,40.45029239766082
